State,Year,Homeowners_Avg_Premium,Homeowners_Rank,Renters_Avg_Premium,Renters_Rank
Arkansas,2022,1740.0,14.0,205.0,5.0
California,2010,939.0,16.0,213.0,7.0
California,2011,967.0,18.0,208.0,11.0
California,2012,980.0,22.0,207.0,12.0
California,2013,966.0,26.0,203.0,13.0
California,2014,974.0,31.0,203.0,12.0
California,2015,986.0,30.0,202.0,10.0
California,2016,1000.0,32.0,200.0,9.0
California,2017,1008.0,32.0,182.0,17.0
California,2018,1073.0,31.0,178.0,21.0
California,2019,1177.0,28.0,175.0,20.0
California,2020,1241.0,23.0,171.0,18.0
California,2021,1403.0,20.0,177.0,13.0
California,2022,1492.0,23.0,169.0,22.0
Colorado,2010,926.0,18.0,177.0,20.0
Colorado,2011,961.0,19.0,175.0,23.0
Colorado,2012,1038.0,18.0,169.0,29.0
Colorado,2013,1160.0,15.0,168.0,28.0
Colorado,2014,1273.0,11.0,174.0,27.0
Colorado,2015,1383.0,9.0,166.0,31.0
Colorado,2016,1446.0,10.0,156.0,36.0
Colorado,2017,1495.0,8.0,159.0,33.0
Colorado,2018,1616.0,7.0,164.0,29.0
Colorado,2019,1618.0,7.0,159.0,28.0
Colorado,2020,1667.0,7.0,161.0,21.0
Colorado,2021,1802.0,6.0,159.0,27.0
Colorado,2022,2079.0,5.0,158.0,30.0
Connecticut,2010,1052.0,9.0,194.0,15.0
Connecticut,2011,1096.0,10.0,196.0,15.0
Connecticut,2012,1160.0,9.0,196.0,15.0
Connecticut,2013,1274.0,9.0,200.0,14.0
Connecticut,2014,1337.0,9.0,205.0,10.0
Connecticut,2015,1411.0,8.0,201.0,12.0
Connecticut,2016,1455.0,8.0,196.0,14.0
Connecticut,2017,1479.0,11.0,192.0,11.0
Connecticut,2018,1494.0,11.0,188.0,12.0
Connecticut,2019,1531.0,10.0,183.0,13.0
Connecticut,2020,1582.0,9.0,180.0,13.0
Connecticut,2021,1651.0,10.0,171.0,18.0
Connecticut,2022,1814.0,10.0,175.0,15.0
D.C.,2010,1065.0,8.0,169.0,25.0
D.C.,2011,1083.0,12.0,167.0,29.0
D.C.,2012,1103.0,14.0,164.0,32.0
D.C.,2013,1150.0,17.0,158.0,33.0
D.C.,2014,1151.0,18.0,160.0,34.0
D.C.,2015,1196.0,19.0,158.0,34.0
D.C.,2016,1225.0,19.0,163.0,27.0
D.C.,2017,1235.0,20.0,158.0,35.0
D.C.,2018,1264.0,21.0,157.0,35.0
D.C.,2019,1275.0,20.0,158.0,30.0
D.C.,2020,1229.0,25.0,159.0,23.0
D.C.,2021,1272.0,25.0,150.0,36.0
D.C.,2022,1384.0,28.0,153.0,35.0
Delaware,2010,636.0,43.0,157.0,29.0
Delaware,2011,664.0,44.0,159.0,32.0
Delaware,2012,678.0,45.0,153.0,40.0
Delaware,2013,709.0,45.0,152.0,40.0
Delaware,2014,736.0,45.0,154.0,39.0
Delaware,2015,780.0,46.0,156.0,35.0
Delaware,2016,816.0,45.0,159.0,30.0
Delaware,2017,833.0,45.0,159.0,33.0
Delaware,2018,873.0,45.0,157.0,35.0
Delaware,2019,908.0,43.0,153.0,36.0
Delaware,2020,907.0,43.0,151.0,29.0
Delaware,2021,988.0,44.0,144.0,44.0
Delaware,2022,1103.0,42.0,147.0,41.0
Florida,2010,1544.0,3.0,202.0,11.0
Florida,2011,1933.0,1.0,210.0,10.0
Florida,2012,2084.0,1.0,217.0,8.0
Florida,2013,2115.0,1.0,208.0,11.0
Florida,2014,2055.0,1.0,202.0,14.0
Florida,2015,1993.0,1.0,195.0,15.0
Florida,2016,1918.0,3.0,181.0,19.0
Florida,2017,1951.0,2.0,188.0,12.0
Florida,2018,1960.0,2.0,185.0,14.0
Florida,2019,1988.0,3.0,180.0,18.0
Florida,2020,2165.0,1.0,182.0,11.0
Florida,2021,2437.0,1.0,175.0,14.0
Florida,2022,2677.0,1.0,181.0,11.0
Georgia,2010,833.0,24.0,225.0,4.0
Georgia,2011,906.0,24.0,228.0,5.0
Georgia,2012,975.0,23.0,226.0,6.0
Georgia,2013,1044.0,22.0,226.0,6.0
Georgia,2014,1089.0,22.0,226.0,6.0
Georgia,2015,1152.0,20.0,226.0,7.0
Georgia,2016,1200.0,20.0,230.0,6.0
Georgia,2017,1267.0,18.0,219.0,6.0
Georgia,2018,1313.0,17.0,214.0,6.0
Georgia,2019,1362.0,15.0,209.0,6.0
Georgia,2020,1403.0,14.0,212.0,6.0
Georgia,2021,1466.0,16.0,205.0,6.0
Georgia,2022,1655.0,16.0,205.0,5.0
Hawaii,2010,938.0,17.0,184.0,17.0
Hawaii,2011,907.0,23.0,176.0,22.0
Hawaii,2012,957.0,24.0,221.0,7.0
Hawaii,2013,953.0,27.0,215.0,7.0
Hawaii,2014,1018.0,26.0,210.0,9.0
Hawaii,2015,1014.0,29.0,201.0,12.0
Hawaii,2016,1026.0,29.0,154.0,37.0
Hawaii,2017,1102.0,27.0,185.0,16.0
Hawaii,2018,1140.0,27.0,181.0,19.0
Hawaii,2019,1182.0,27.0,174.0,21.0
Hawaii,2020,1245.0,22.0,176.0,15.0
Hawaii,2021,1299.0,24.0,172.0,17.0
Hawaii,2022,1431.0,25.0,174.0,16.0
Idaho,2010,500.0,49.0,160.0,27.0
Idaho,2011,518.0,50.0,160.0,31.0
Idaho,2012,538.0,51.0,157.0,36.0
Idaho,2013,561.0,51.0,155.0,38.0
Idaho,2014,590.0,50.0,156.0,37.0
Idaho,2015,692.0,49.0,155.0,37.0
Idaho,2016,703.0,49.0,150.0,41.0
Idaho,2017,730.0,49.0,153.0,39.0
Idaho,2018,772.0,49.0,152.0,40.0
Idaho,2019,799.0,47.0,148.0,43.0
Idaho,2020,810.0,47.0,148.0,30.0
Idaho,2021,884.0,47.0,146.0,40.0
Idaho,2022,1002.0,46.0,147.0,41.0
Illinois,2010,793.0,25.0,169.0,25.0
Illinois,2011,822.0,27.0,172.0,25.0
Illinois,2012,881.0,28.0,171.0,27.0
Illinois,2013,938.0,29.0,172.0,26.0
Illinois,2014,987.0,29.0,177.0,26.0
Illinois,2015,1033.0,28.0,173.0,26.0
Illinois,2016,1042.0,28.0,167.0,26.0
Illinois,2017,1056.0,29.0,167.0,27.0
Illinois,2018,1103.0,28.0,166.0,27.0
Illinois,2019,1054.0,33.0,157.0,32.0
Illinois,2020,1144.0,30.0,157.0,25.0
Illinois,2021,1223.0,31.0,154.0,31.0
Illinois,2022,1343.0,30.0,151.0,37.0
Indiana,2010,748.0,33.0,175.0,22.0
Indiana,2011,779.0,33.0,179.0,19.0
Indiana,2012,840.0,33.0,182.0,21.0
Indiana,2013,887.0,35.0,183.0,21.0
Indiana,2014,944.0,33.0,187.0,21.0
Indiana,2015,983.0,31.0,183.0,22.0
Indiana,2016,1003.0,31.0,179.0,23.0
Indiana,2017,1000.0,33.0,174.0,23.0
Indiana,2018,1030.0,33.0,172.0,24.0
Indiana,2019,983.0,36.0,164.0,25.0
Indiana,2020,1021.0,34.0,164.0,19.0
Indiana,2021,1058.0,36.0,162.0,24.0
Indiana,2022,1191.0,35.0,168.0,24.0
Iowa,2010,679.0,39.0,143.0,38.0
Iowa,2011,713.0,41.0,149.0,39.0
Iowa,2012,779.0,40.0,147.0,45.0
Iowa,2013,832.0,40.0,147.0,43.0
Iowa,2014,853.0,40.0,146.0,44.0
Iowa,2015,919.0,37.0,146.0,47.0
Iowa,2016,945.0,38.0,141.0,46.0
Iowa,2017,964.0,36.0,144.0,46.0
Iowa,2018,987.0,35.0,144.0,47.0
Iowa,2019,913.0,42.0,132.0,48.0
Iowa,2020,998.0,36.0,136.0,34.0
Iowa,2021,1043.0,37.0,135.0,47.0
Iowa,2022,1268.0,34.0,144.0,45.0
Kansas,2010,1066.0,7.0,176.0,21.0
Kansas,2011,1103.0,8.0,177.0,21.0
Kansas,2012,1213.0,8.0,174.0,25.0
Kansas,2013,1343.0,6.0,176.0,25.0
Kansas,2014,1431.0,6.0,179.0,24.0
Kansas,2015,1531.0,5.0,177.0,25.0
Kansas,2016,1548.0,5.0,177.0,24.0
Kansas,2017,1584.0,5.0,172.0,25.0
Kansas,2018,1617.0,6.0,172.0,24.0
Kansas,2019,1519.0,11.0,167.0,23.0
Kansas,2020,1478.0,13.0,162.0,20.0
Kansas,2021,1491.0,14.0,159.0,27.0
Kansas,2022,1583.0,21.0,159.0,28.0
Kentucky,2010,776.0,29.0,169.0,25.0
Kentucky,2011,839.0,26.0,175.0,23.0
Kentucky,2012,916.0,27.0,171.0,27.0
Kentucky,2013,981.0,24.0,170.0,27.0
Kentucky,2014,1023.0,24.0,169.0,28.0
Kentucky,2015,1062.0,27.0,172.0,27.0
Kentucky,2016,1085.0,27.0,169.0,25.0
Kentucky,2017,1109.0,26.0,168.0,26.0
Kentucky,2018,1152.0,26.0,166.0,27.0
Kentucky,2019,1172.0,29.0,162.0,27.0
Kentucky,2020,1174.0,27.0,157.0,25.0
Kentucky,2021,1232.0,29.0,156.0,30.0
Kentucky,2022,1359.0,29.0,159.0,28.0
Louisiana,2010,1546.0,2.0,234.0,2.0
Louisiana,2011,1672.0,2.0,238.0,2.0
Louisiana,2012,1742.0,2.0,242.0,2.0
Louisiana,2013,1822.0,3.0,246.0,3.0
Louisiana,2014,1847.0,3.0,255.0,3.0
Louisiana,2015,1945.0,3.0,249.0,2.0
Louisiana,2016,1967.0,1.0,252.0,2.0
Louisiana,2017,1968.0,1.0,235.0,3.0
Louisiana,2018,1987.0,1.0,234.0,3.0
Louisiana,2019,2037.0,1.0,236.0,2.0
Louisiana,2020,2038.0,3.0,247.0,2.0
Louisiana,2021,2259.0,2.0,243.0,2.0
Louisiana,2022,2603.0,2.0,243.0,2.0
Maine,2010,676.0,41.0,145.0,37.0
Maine,2011,714.0,40.0,150.0,38.0
Maine,2012,741.0,42.0,149.0,43.0
Maine,2013,776.0,42.0,147.0,43.0
Maine,2014,811.0,42.0,147.0,43.0
Maine,2015,843.0,42.0,147.0,45.0
Maine,2016,866.0,42.0,151.0,39.0
Maine,2017,882.0,42.0,149.0,42.0
Maine,2018,905.0,42.0,149.0,42.0
Maine,2019,936.0,41.0,149.0,39.0
Maine,2020,956.0,41.0,148.0,30.0
Maine,2021,996.0,42.0,146.0,40.0
Maine,2022,1077.0,43.0,145.0,43.0
Maryland,2010,784.0,27.0,156.0,30.0
Maryland,2011,800.0,30.0,161.0,30.0
Maryland,2012,837.0,34.0,160.0,34.0
Maryland,2013,904.0,33.0,158.0,33.0
Maryland,2014,942.0,34.0,161.0,33.0
Maryland,2015,982.0,32.0,161.0,33.0
Maryland,2016,1022.0,30.0,161.0,29.0
Maryland,2017,1037.0,30.0,161.0,32.0
Maryland,2018,1071.0,32.0,161.0,30.0
Maryland,2019,1125.0,31.0,157.0,33.0
Maryland,2020,1169.0,28.0,160.0,22.0
Maryland,2021,1238.0,28.0,152.0,33.0
Maryland,2022,1392.0,27.0,155.0,32.0
Massachusetts,2010,1050.0,10.0,211.0,8.0
Massachusetts,2011,1072.0,13.0,213.0,8.0
Massachusetts,2012,1150.0,11.0,206.0,14.0
Massachusetts,2013,1263.0,10.0,198.0,15.0
Massachusetts,2014,1314.0,10.0,198.0,15.0
Massachusetts,2015,1379.0,10.0,196.0,14.0
Massachusetts,2016,1451.0,9.0,198.0,10.0
Massachusetts,2017,1488.0,9.0,194.0,9.0
Massachusetts,2018,1543.0,10.0,191.0,9.0
Massachusetts,2019,1617.0,8.0,186.0,9.0
Massachusetts,2020,1667.0,7.0,172.0,17.0
Massachusetts,2021,1712.0,8.0,168.0,21.0
Massachusetts,2022,1871.0,8.0,173.0,18.0
Michigan,2010,743.0,34.0,200.0,12.0
Michigan,2011,774.0,34.0,208.0,11.0
Michigan,2012,802.0,37.0,207.0,12.0
Michigan,2013,839.0,39.0,204.0,12.0
Michigan,2014,865.0,39.0,203.0,13.0
Michigan,2015,908.0,39.0,203.0,9.0
Michigan,2016,952.0,37.0,197.0,13.0
Michigan,2017,942.0,38.0,182.0,18.0
Michigan,2018,981.0,38.0,185.0,14.0
Michigan,2019,999.0,35.0,182.0,15.0
Michigan,2020,1002.0,35.0,181.0,12.0
Michigan,2021,993.0,43.0,179.0,11.0
Michigan,2022,1056.0,44.0,180.0,13.0
Minnesota,2010,981.0,14.0,149.0,34.0
Minnesota,2011,1056.0,14.0,150.0,38.0
Minnesota,2012,1140.0,12.0,149.0,43.0
Minnesota,2013,1222.0,11.0,147.0,43.0
Minnesota,2014,1219.0,16.0,144.0,47.0
Minnesota,2015,1323.0,13.0,144.0,48.0
Minnesota,2016,1340.0,14.0,142.0,45.0
Minnesota,2017,1348.0,14.0,140.0,48.0
Minnesota,2018,1400.0,14.0,140.0,49.0
Minnesota,2019,1433.0,14.0,135.0,47.0
Minnesota,2020,1481.0,12.0,134.0,35.0
Minnesota,2021,1607.0,13.0,132.0,48.0
Minnesota,2022,1774.0,11.0,135.0,49.0
Mississippi,2010,1217.0,5.0,252.0,1.0
Mississippi,2011,1409.0,4.0,252.0,1.0
Mississippi,2012,1314.0,5.0,244.0,1.0
Mississippi,2013,1395.0,5.0,250.0,1.0
Mississippi,2014,1447.0,5.0,262.0,1.0
Mississippi,2015,1508.0,6.0,262.0,1.0
Mississippi,2016,1525.0,6.0,275.0,1.0
Mississippi,2017,1537.0,7.0,258.0,1.0
Mississippi,2018,1578.0,8.0,252.0,1.0
Mississippi,2019,1622.0,6.0,252.0,1.0
Mississippi,2020,1674.0,6.0,256.0,1.0
Mississippi,2021,1766.0,7.0,258.0,1.0
Mississippi,2022,1907.0,7.0,262.0,1.0
Missouri,2010,970.0,15.0,180.0,18.0
Missouri,2011,1022.0,16.0,182.0,18.0
Missouri,2012,1091.0,16.0,182.0,21.0
Missouri,2013,1143.0,18.0,179.0,22.0
Missouri,2014,1199.0,17.0,181.0,22.0
Missouri,2015,1253.0,17.0,180.0,23.0
Missouri,2016,1280.0,17.0,181.0,19.0
Missouri,2017,1285.0,16.0,173.0,24.0
Missouri,2018,1383.0,15.0,179.0,20.0
Missouri,2019,1299.0,18.0,173.0,22.0
Missouri,2020,1301.0,19.0,172.0,17.0
Missouri,2021,1340.0,22.0,171.0,18.0
Missouri,2022,1668.0,15.0,173.0,18.0
